"task_name","behavior_data","start_time","user_id","user_name","session_id","task_type","status","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Data Entry","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":115,""tab_switch_count"":7,""last_switch_time"":""2026-06-19T12:45:40.204Z"",""window_minimized_seconds"":476,""screen_hidden_events"":7,""idle_time_seconds"":655,""active_seconds"":10858,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-19T12:45:50.281Z""}","2026-06-19T09:29:14.612Z","69dde7c34ace88ace4b2736e","Nandini","session_1781861354612_1rnzb5gkz","Data Entry","LIVE","6a350bed3d1bb00a3bb45ef1","2026-06-19T09:29:17.193000","2026-06-19T12:45:52.179000","anonymous","anonymous","false"
"PDF to Word Typing","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":18,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-19T07:18:12.313Z""}","2026-06-19T07:17:51.884Z","69dde7c34ace88ace4b2736e","Nandini","session_1781853471884_yuen7zmel","PDF to Word Typing","LIVE","6a34ed22f7098573cd9e076a","2026-06-19T07:17:54.354000","2026-06-19T07:18:14.123000","anonymous","anonymous","false"
"Form Filling","{""total_typed_chars"":112,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":44,""wpm"":56,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":""2026-06-18T16:23:06.044Z"",""last_activity"":""2026-06-18T16:23:22.105Z""}","2026-06-18T16:22:35.584Z","69e080c316eada7181a563d4","Abdul wahab","session_1781799755583_nt81agmqh","Form Filling","LIVE","6a341b51ea2454d837c74fce","2026-06-18T16:22:41.852000","2026-06-18T16:23:27.898000","anonymous","anonymous","false"
"Grammar Correction","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":5,""active_seconds"":72,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-18T09:09:40.337Z""}","2026-06-18T09:08:23.265Z","69dde7c34ace88ace4b2736e","Nandini","session_1781773703265_tlp9dkvbp","Grammar Correction","LIVE","6a33b588e6cd5cc587f9c47a","2026-06-18T09:08:24.294000","2026-06-18T09:09:40.930000","anonymous","anonymous","false"
"PDF to Word Typing","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":10,""active_seconds"":186,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-18T09:08:00.596Z""}","2026-06-18T09:04:40.108Z","69dde7c34ace88ace4b2736e","Nandini","session_1781773480108_i27pk2av5","PDF to Word Typing","LIVE","6a33b4a9068a056b65b347fa","2026-06-18T09:04:41.307000","2026-06-18T09:08:01.303000","anonymous","anonymous","false"
"Form Filling","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":18,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-18T07:20:17.882Z""}","2026-06-18T07:19:57.364Z","69dde7c34ace88ace4b2736e","Nandini","session_1781767197364_xbpkgyno3","Form Filling","LIVE","6a339c1e360ff08e3def7562","2026-06-18T07:19:58.280000","2026-06-18T07:20:18.329000","anonymous","anonymous","false"
"Form Filling","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":26,""wpm"":0,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":null,""last_activity"":""2026-06-17T07:37:13.398Z""}","2026-06-17T07:36:43.799Z","69eb94b62633983272a229f2","Praveen Kumar kaiwartya","session_1781681803799_i11pz4sd8","Form Filling","LIVE","6a324e8d09a7ffac1284d1d5","2026-06-17T07:36:45.216000","2026-06-17T07:37:14.292000","anonymous","anonymous","false"
"Data Entry","{""total_typed_chars"":17167,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":1497,""tab_switch_count"":46,""last_switch_time"":""2026-06-17T11:45:33.710Z"",""window_minimized_seconds"":2467,""screen_hidden_events"":46,""idle_time_seconds"":630,""active_seconds"":16358,""wpm"":24,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":""2026-06-17T11:45:28.013Z"",""last_activity"":""2026-06-17T11:46:05.415Z""}","2026-06-17T06:36:57.818Z","69e080c316eada7181a563d4","Abdul wahab","session_1781678217817_ad0b2riv9","Data Entry","LIVE","6a32408f8efbe9dc4417f68d","2026-06-17T06:37:03.766000","2026-06-17T11:46:11.206000","anonymous","anonymous","false"
"Form Filling","{""total_typed_chars"":1605,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":251,""tab_switch_count"":157,""last_switch_time"":""2026-06-17T05:38:25.144Z"",""window_minimized_seconds"":1885,""screen_hidden_events"":157,""idle_time_seconds"":1065,""active_seconds"":2520,""wpm"":12,""items_saved"":0,""speed_per_hour"":0,""elapsed_seconds"":0,""last_save"":""2026-06-17T05:09:05.410Z"",""last_activity"":""2026-06-17T05:42:10.218Z""}","2026-06-17T04:24:07.767Z","69d60928f062ae4557300ef7","Dhanraj Khichi","session_1781670247767_ghy4hgett","Form Filling","LIVE","6a3221680ca6632b059ea9c7","2026-06-17T04:24:08.709000","2026-06-17T05:42:10.806000","anonymous","anonymous","false"
"Data Entry","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":3,""tab_switch_count"":2,""last_switch_time"":""2026-06-16T10:33:31.059Z"",""window_minimized_seconds"":17,""screen_hidden_events"":2,""idle_time_seconds"":345,""active_seconds"":214,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-16T10:38:35.865Z""}","2026-06-16T10:28:55.451Z","69dde7c34ace88ace4b2736e","Nandini","tracker_69dde7c34ace88ace4b2736e_1781605735451","","ACTIVE","6a3127a7b82d9764f3ca33b0","2026-06-16T10:38:31.806000","2026-06-16T10:38:41.280000","anonymous","anonymous","false"
