"task_name","duration_seconds","start_time","metadata","user_id","user_name","activity_type","preview_image_url","end_time","task_id","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Data Entry","11785","2026-06-19T09:29:16.285Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":115,""tab_switch_count"":7,""last_switch_time"":""2026-06-19T12:45:40.204Z"",""window_minimized_seconds"":476,""screen_hidden_events"":7,""idle_time_seconds"":655,""active_seconds"":10850,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-19T12:45:42.281Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-19T12:45:42.281Z","Data Entry","6a350bee2f0004f34ba299b5","2026-06-19T09:29:18.738000","2026-06-19T12:45:44.070000","anonymous","anonymous","false"
"PDF to Word Typing","20","2026-06-19T07:17:53.336Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":20,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-19T07:18:14.315Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-19T07:18:14.314Z","PDF to Word Typing","6a34ed2331858dd645a4a075","2026-06-19T07:17:55.567000","2026-06-19T07:18:16.512000","anonymous","anonymous","false"
"Form Filling","40","2026-06-18T16:22:36.408Z","{""total_typed_chars"":112,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":40,""wpm"":56,""last_save"":""2026-06-18T16:23:06.044Z"",""last_activity"":""2026-06-18T16:23:17.093Z""}","69e080c316eada7181a563d4","Abdul wahab","task_started","","2026-06-18T16:23:17.093Z","Form Filling","6a341b529b4396703f7810f6","2026-06-18T16:22:42.471000","2026-06-18T16:23:22.928000","anonymous","anonymous","false"
"Grammar Correction","60","2026-06-18T09:08:24.729Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":60,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-18T09:09:25.292Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-18T09:09:25.292Z","Grammar Correction","6a33b5897f497b0ae2860bd7","2026-06-18T09:08:25.377000","2026-06-18T09:09:25.904000","anonymous","anonymous","false"
"PDF to Word Typing","181","2026-06-18T09:04:41.396Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":180,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-18T09:07:42.601Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-18T09:07:42.601Z","PDF to Word Typing","6a33b4aa83af2f4b6adf1735","2026-06-18T09:04:42.698000","2026-06-18T09:07:43.310000","anonymous","anonymous","false"
"Data Entry","4899","2026-06-18T07:27:21.970Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":4,""tab_switch_count"":9,""last_switch_time"":""2026-06-18T08:47:48.692Z"",""window_minimized_seconds"":109,""screen_hidden_events"":9,""idle_time_seconds"":240,""active_seconds"":4602,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-18T08:49:01.381Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-18T08:49:01.381Z","Data Entry","6a339ddd707c0748ae01a9f2","2026-06-18T07:27:25.407000","2026-06-18T08:49:04.255000","anonymous","anonymous","false"
"Form Filling","20","2026-06-18T07:19:59.272Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":20,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-18T07:20:19.875Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-18T07:20:19.874Z","Form Filling","6a339c1f12fec78f8cc202dd","2026-06-18T07:19:59.791000","2026-06-18T07:20:20.685000","anonymous","anonymous","false"
"Form Filling","4","2026-06-18T07:12:34.250Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-18T07:12:39.107Z""}","69dde7c34ace88ace4b2736e","Nandini","task_abandoned","","2026-06-18T07:12:39.107Z","Form Filling","6a339a6303d68423d5ff0753","2026-06-18T07:12:35.298000","2026-06-18T07:12:41.633000","anonymous","anonymous","false"
"Form Filling","40","2026-06-18T04:53:19.202Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":40,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-18T04:53:59.917Z""}","69eb55ccb14d7094c35bff5b","Krishan Murari Sharma","task_started","","2026-06-18T04:53:59.917Z","Form Filling","6a3379c2b356fd8d56ed2338","2026-06-18T04:53:22.983000","2026-06-18T04:54:03.395000","anonymous","anonymous","false"
"Form Filling","21","2026-06-17T07:36:44.703Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":20,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-17T07:37:06.042Z""}","69eb94b62633983272a229f2","Praveen Kumar kaiwartya","task_started","","2026-06-17T07:37:06.042Z","Form Filling","6a324e8dbc316cdab8f7e493","2026-06-17T07:36:45.948000","2026-06-17T07:37:07.592000","anonymous","anonymous","false"
